Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10013,Faralaba,Martha,01/11/1942
10014,Martinez,Leila,07/11/1970,"37/46 Kulas Roads, Maragondon 0962 Quirino ",877-110-749,27-2090996-4,5.15741E+11,275-792-513-000,1.01205E+11,Regular,Payroll Rank and File,"Salcedo, Anthony","24,000","1,500",500,500,"12,000",142.86
10015,Romualdez,Fredrick ,03/10/1985,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023-079-009,26-8768374-1,3.08367E+11,598-065-761-000,2.23058E+11,Regular,Account Manager,"Lim, Antonio","53,500","1,500","1,000","1,000","26,750",318.45
10016,Mata,Christian,10/21/1987,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ",783-776-744,49-2959312-6,8.24188E+11,103-100-522-000,6.31053E+11,Regular,Account Team Leader,"Romualdez, Fredrick ","42,975","1,500",800,800,"21,488",255.8
10017,De Leon,Selena ,02/20/1975,"89A Armstrong Trace, Compostela 7874 Maguindanao",975-432-139,27-2090208-8,5.87272E+11,482-259-498-000,7.19008E+11,Regular,Account Team Leader,"Romualdez, Fredrick ","41,850","1,500",800,800,"20,925",249.11
10018,San Jose,Allison ,06/24/1986,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179-075-129,45-3251383-0,7.45148E+11,121-203-336-000,1.14902E+11,Regular,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250",133.93
10019,Rosario,Cydney ,10/06/1996,"93A/21 Berge Points, Tapaz 2180 Quezon",868-819-912,49-1629900-2,5.79253E+11,122-244-511-000,2.65104E+11,Regular,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250",133.93
10020,Bautista,Mark ,02/12/1991,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683-725-348,49-1647342-5,3.99665E+11,273-970-941-000,2.60055E+11,Regular,Account Rank and File,"Mata, Christian","23,250","1,500",500,500,"11,625",138.39
10021,Lazaro,Darlene ,11/25/1985,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",740-721-558,45-5617168-2,6.06387E+11,354-650-951-000,1.04908E+11,Probationary,Account Rank and File,"Mata, Christian","23,250","1,500",500,500,"11,625",138.39
10022,Delos Santos,Kolby ,02/26/1980,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",739-443-033,52-0109570-6,3.57451E+11,187-500-345-000,1.13018E+11,Probationary,Account Rank and File,"Mata, Christian","24,000","1,500",500,500,"12,000",142.86
10023,Santos,Vella ,12/31/1983,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",955-879-269,52-9883524-3,5.4867E+11,101-558-994-000,3.60028E+11,Probationary,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250",133.93
10024,Del Rosario,Tomas,12/18/1978,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",882-550-989,45-5866331-6,9.53902E+11,560-735-732-000,9.13109E+11,Probationary,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250",133.93
10025,Tolentino,Jacklyn ,05/19/1984,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",675-757-366,47-1692793-0,7.53801E+11,841-177-857-000,2.10547E+11,Probationary,Account Rank and File,"De Leon, Selena","24,000","1,500",500,500,"12,000",142.86
